course_name,institute_name,location,format,faculty,language,dates,duration,suitable_for,fees,availability,source_url
DCFA Course Details,DCFA Course Details,"Accounting, Ma",Online,Not Available,/ ഭാഷ,Not Available,6.00 Months,Not Available,10000.00,open,https://lbscentre.kerala.gov.in/services/courses
DMPTT Course Details,DMPTT Course Details,"lives, an",Online,Not Available,/ ഭാഷ,Not Available,3.00 Month,Not Available,6000.00,open,https://lbscentre.kerala.gov.in/services/courses
DOETMT Course Details,DOETMT Course Details,"MSOffice, sp",Online,Not Available,/ ഭാഷ,Not Available,3.00 Month,Not Available,6000.00,open,https://lbscentre.kerala.gov.in/services/courses
Tally Course Details,Tally Course Details,"Road, Na",Online,Not Available,/ ഭാഷ,Not Available,3.00 Months,of various industries and business firms.,5000.00,open,https://lbscentre.kerala.gov.in/services/courses
