course_name,institute_name,location,format,faculty,language,dates,duration,suitable_for,fees,availability,source_url
CW 19 WA - The Creative Habit: Cultivate a Daily Writing Practice,Stanford University,Not Available,Online,Not Available,English,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
CW 19 WB - The Creative Habit: Cultivate a Daily Writing Practice,Stanford University,Not Available,Online,Not Available,English,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
CW 96 - Strange Sparks: Unlocking Stories Through the Uncanny and Supernatural,Stanford University,Not Available,Online,Not Available,English,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
CW 95 W - Be Your Own Developmental Editor,Stanford University,Not Available,Online,Not Available,English,FA (T),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
CW 81 - Reading Like a Writer: Unlocking Creativity Through Literary Analysis,Stanford University,Not Available,Online,Not Available,English,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
SCI 90 - How Did We Get Here? A Brief History of Our Habitable Planet,Stanford University,Not Available,Online,Not Available,English,FA (M),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
FICT 113 - Short Story Workshop: The Ultimate Magic Trick,Stanford University,Not Available,Online,Not Available,English,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
"FICT 84 W - Short Story Workshop: The Beginning, the End, and Everything in Between",Stanford University,Not Available,Online,Not Available,English,FA (M),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
FICT 99 W - Flash Fiction Workshop: Five Stories in Five Weeks,Stanford University,Not Available,Online,Not Available,English,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
SPT 60 - Super Bowl 60: The Game Behind the Game,Stanford University,Not Available,Online,Not Available,English,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
TECH 17 - Demystifying Machine Learning and AI Algorithms,Stanford University,Not Available,Online,Not Available,English,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
"TECH 30 Z - Introduction to AI: What It Is, How It Works, and Why It Matters",Stanford University,Not Available,Online,Not Available,English,FA (M),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
TECH 35 - Harnessing the Power of AI Agents,Stanford University,Not Available,Online,Not Available,English,FA (T),Not Available,Not Available,Not Available,ClosedJoin Wait List,https://continuingstudies.stanford.edu/courses/courses-by-format
"TECH 37 - Cybersecurity Foundations: Offensive Insight, Defensive Strength",Stanford University,Not Available,Online,Not Available,English,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
TECH 36 - Vibe Coding: Using AI for Programming,Stanford University,Not Available,Online,Not Available,English,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
TECH 46 - Beginning Programming in Python,Stanford University,Not Available,Online,Not Available,English,FA (M),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
TECH 65 - Data Analysis with Python,Stanford University,Not Available,Online,Not Available,English,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
WELL 108 W - Motherhood and Work: Challenges and Opportunities for Positive Change,Stanford University,Not Available,Online,Not Available,English,FA (T),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
