course_name,institute_name,location,format,faculty,language,dates,duration,suitable_for,fees,availability,source_url
The Filoli Estate: An Architectural Exploration,Not Available,Not Available,Off-campus,Not Available,Not Available,FA (S),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
"Great Baroque Masters: Caravaggio, Rembrandt, and Vermeer",Not Available,Not Available,On-campus,Not Available,Not Available,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
"Shoot, Edit, and Produce Your Own Video with the iPhone",Not Available,Not Available,On-campus,Not Available,Not Available,FA,Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
Introduction to Oil Painting,Not Available,Not Available,On-campus,Not Available,Not Available,FA (T),Not Available,Not Available,Not Available,ClosedJoin Wait List,https://continuingstudies.stanford.edu/courses/courses-by-format
Drawing Flowers: An Introduction to Botanical Art,Not Available,Not Available,On-campus,Not Available,Not Available,FA,Not Available,Not Available,Not Available,ClosedJoin Wait List,https://continuingstudies.stanford.edu/courses/courses-by-format
Art and Anatomy: Drawing the Human Foot,Not Available,Not Available,On-campus,Not Available,Not Available,FA (S),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
Machine Learning for Business with Python,Not Available,Not Available,On-campus,Not Available,Not Available,FA,Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
Building a Venture-Ready Startup,Not Available,Not Available,On-campus,Not Available,Not Available,FA (Th),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
Accelerate Your Startup Idea,Not Available,Not Available,On-campus,Not Available,Not Available,FA (W),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
Executive Presence: Essential Skills to Lead and Influence,Not Available,Not Available,On-campus,Not Available,Not Available,FA (T),Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
"Women Leaders: Mastering Influence, Authenticity, and Power",Not Available,Not Available,On-campus,Not Available,Not Available,FA,Not Available,Not Available,Not Available,OpenAdd to cart,https://continuingstudies.stanford.edu/courses/courses-by-format
